parallax,phot_g_mean_mag,bp_rp
86.99250931647948,9.992615,2.472147
86.95743346181864,11.579974,2.476037
86.92985294608008,9.08505,2.128295
86.90096932259803,8.89914,2.1466994
86.9000482194625,12.562663,3.1868572
86.87323337500877,12.605769,3.1882763
86.82060614940866,8.300702,1.870163
86.80034639406611,8.25029,1.8457236
86.77858242068082,11.527947,2.7202291
86.61958910034566,9.442556,2.2408972
86.61238273731313,8.196382,1.97891
86.56130818207497,8.91724,2.052734
86.5404506772896,12.618702,2.8778372
86.46580129657241,13.591183,0.39505768
86.35422037657243,8.27417,1.7923241
86.30367448068573,8.067136,1.717947
86.27588304488538,11.75485,2.6921282
86.1408962780358,14.226747,4.039603
85.99323916198021,5.7661414,1.0409293
85.94055985093036,2.836813,0.6872513
85.90974675331594,12.016486,2.7316122
85.80428137734184,12.760623,3.220086
85.72400424040188,9.343476,2.149866
85.67580143318006,14.3020525,4.0410805
85.6340687124235,11.240905,3.0993671
85.61287068169932,8.075447,1.8037624
85.53008720973203,8.285325,1.7791142
85.52329311905011,4.550013,0.7088733
85.47315562000797,11.938525,2.7570124
85.45190598238578,10.348972,2.8111095
85.4119444807103,8.467483,1.872684
85.405993274552,9.258272,2.3079243
85.2176772433136,10.296098,2.5431643
85.11684398839553,10.325339,2.4539309
84.97896047373257,10.572564,2.6485357
84.85630425628715,11.062044,2.8618498
84.79689812369861,9.310769,2.2497244
84.70006581982092,9.652589,2.0562239
84.60291005524316,6.354505,1.1846166
84.44018320948496,10.027026,2.1156511
84.39373746893237,13.151127,3.2658958
84.37829957485404,9.93711,2.3326569
84.36745206683383,11.368919,2.7006426
84.32808364905566,9.574072,2.3955097
84.31428584114606,11.401026,2.9790516
84.31052432709014,15.338058,1.2689066
84.29833015982618,10.080184,2.5737257
84.24434883357806,14.468728,0.6377926
84.2246337028907,13.441506,3.5297508
84.22249346395863,12.246696,3.0618944
84.17656725244895,7.7352266,1.6766849
84.15535722299161,9.054922,2.201908
84.05535611757442,9.9323845,2.4692488
84.0079414961219,14.285157,4.1767464
84.00535559575758,3.6638713,0.6844826
83.99483372701643,13.54909,3.5925245
83.9705585287,10.6154585,2.6484213
83.93672372025935,13.356599,3.4949627
83.921443569609,4.246856,0.7825
83.87595614967746,9.736692,2.503828
83.85768795617837,13.1612015,3.3821583
83.78647818163225,12.531818,3.1394978
83.76419563486569,8.811089,2.0056915
83.68966533704628,9.938216,2.284771
83.67821563892144,11.036237,2.4194212
83.67637554552375,12.240437,3.0247269
