phot_g_mean_mag,parallax,bp_rp
17.437141,6.209005321790808,2.956852
14.078181,21.29325739148229,2.7604456
18.49868,6.30180291384382,3.1035385
6.621805,9.537018647162599,0.115371704
12.328179,5.430128598103748,1.135436
12.358665,6.460596528310602,1.2582579
17.785368,7.553257942401202,0.20044518
18.3035,5.170834736892266,3.2140884
17.106922,5.799405975010004,2.9907856
14.564069,11.646843240655572,2.5537167
6.4559984,6.131399669089978,1.2113547
17.600267,10.147507720467843,3.3858376
15.919916,25.222693788466433,1.5926723
17.173616,5.618158332745253,2.655507
16.878195,8.789275045378465,3.0710363
16.179497,7.433817508311912,2.9029083
15.418549,5.773947552557509,2.524499
16.529325,29.564010944645158,1.0406857
15.212,5.902320242831519,2.1606874
18.50909,5.63621260859214,3.1379528
16.749987,5.905110241504982,2.709549
9.446859,5.3416887452819575,0.67471504
16.810345,7.257072155261197,2.8141556
14.903979,5.362349758357983,2.0594368
10.882837,6.072403101382058,0.8089714
17.335287,6.835453002333425,3.1237068
12.247718,13.61073087768923,1.7510605
17.470444,6.127950839449944,2.8436813
15.436443,5.6990793459027556,2.5289183
13.200744,6.798146463842849,1.5985651
17.983162,7.724293178351025,0.24368286
10.035801,6.928374116515341,0.9697876
18.532518,5.001174780967487,3.249443
13.224312,6.812322045996422,1.6645336
8.744481,5.3016940651094515,1.0946951
9.385202,5.19867763631945,0.58309746
15.820414,6.91494958670501,2.4155245
15.597076,5.550425177921993,2.6214676
17.77905,6.544027711581347,2.936983
16.458345,6.405991571763623,2.8373833
16.833578,6.661409456333176,2.9077263
15.72799,9.453862244795609,2.6665516
13.776513,5.207858758320364,1.5460901
17.967813,5.7400962393382935,3.0653
12.182194,6.663636482818612,1.3905668
12.408224,7.369252612910233,1.3967257
16.889986,6.205997720954544,2.6896315
17.125315,10.090238777812607,3.01272
17.18808,5.130924228520799,2.9543962
18.090857,5.85881510955111,3.0390053
16.484905,6.488799477602531,2.7179193
17.73874,5.333959852622984,3.01301
16.174156,5.811471908589389,2.3613243
11.062772,5.320402862164254,0.8912525
13.118317,8.973837783760212,1.8649263
18.049816,5.205060434791005,2.8612347
13.044318,5.121040615115732,1.2467079
16.435259,5.617254298244978,2.4433508
17.327358,5.1527381830574415,2.816183
18.465305,5.661277462687938,3.1988182
11.474067,5.694864811018542,0.9672699
18.592806,5.763497795964474,3.2057323
15.386245,16.523350491088117,2.1467733
16.721462,8.61614592205731,2.6261673
11.273232,58.51079100759136,2.662877
16.946148,12.435281403714226,3.1558008
16.942678,7.992987142884569,3.0013704
18.781797,5.0935624260103145,2.919033
15.253779,5.774176729314072,2.280408
16.580002,8.07625270964208,2.6757717
15.720935,7.801755561134285,2.7395744
14.802384,8.51434819840642,2.3433418
17.263193,9.65060864720524,3.116661
17.2366,5.085010008525323,2.7610207
18.965115,5.290556053415595,3.163765
17.256924,7.146579680481666,2.8977585
14.531885,15.19196438899821,2.856409
17.363106,8.182046376348392,3.1706085
17.301037,5.3615821395645105,2.7463112
13.278533,6.038871481095275,1.5226479
17.619888,5.776899161440693,2.980053
12.108894,6.028781289525621,1.1423264
13.893434,5.202250123365059,1.6331491
18.766994,6.455045969589414,3.387598
15.19244,5.51724777163285,2.3816986
15.693369,8.370274522599397,2.5450335
7.0608582,23.478505749573884,0.671783
11.5670805,7.073852574431467,0.9643612
18.274998,5.942910565427863,2.9876137
17.514034,8.747960115612925,3.2644253
17.311274,12.301752137837472,3.2835693
17.708925,5.140573134903024,2.8758183
12.447756,5.665489988486872,1.1407766
16.27746,5.203612418615226,2.4323282
17.214294,5.923517602054741,2.880848
15.5338125,7.239088311199063,2.5644608
16.766186,5.438518770971932,2.7976856
19.01306,5.703599689086466,3.3705559
16.406073,6.560612444600445,3.0966911
8.017503,22.724151824358565,0.8290119
15.668836,5.748200379790006,2.4789333
17.498034,5.435708815084003,2.8751984
15.819758,6.815710350794952,2.4314785
16.651405,5.804078353194661,2.9490576
18.408854,5.046818736521275,3.0094223
15.850898,5.819586982476522,2.7297869
15.10408,8.696023448233904,2.7106009
15.381023,22.567815583906313,2.896061
16.158487,7.747525106222216,2.6178398
14.978523,5.210141612323405,2.1553183
16.282787,5.881704545528045,2.6269188
16.49603,7.773280779770393,2.8726425
13.027396,21.48271121364644,2.663104
10.213388,11.54036681729113,1.0872116
16.030422,5.813974600936538,2.6555338
15.766794,6.253410399677498,2.6858797
11.823599,7.888053652625382,1.1612263
8.675558,9.169455232862608,0.6730223
14.003264,5.188472858755978,1.6706686
14.427308,8.115832482442583,2.1004744
11.826575,6.6093009495859905,1.1063337
17.21519,8.936829810185293,2.150425
16.565134,17.790321974541353,3.8613968
15.770462,5.1906353280231405,2.1093311
17.893204,5.593490411234547,3.4058418
9.267752,10.000031865768985,0.8808584
14.589454,5.5470110912503365,1.9526653
13.787117,5.562150261156623,1.5828619
18.082727,13.894676500616903,3.9423656
12.915063,6.321592267427335,1.419158
14.535186,13.90974846854877,2.5649643
15.938442,6.773171371026411,2.627448
11.4411955,5.571615190638384,0.93463326
11.479145,6.151018615400467,1.0026817
13.315173,5.510905372940479,1.415307
18.256197,5.833443699326505,3.103901
18.557293,6.308243651615587,0.13962173
17.51202,6.250234974764134,2.8536568
17.862392,5.796468983696294,2.9957352
13.476955,5.944024525103614,1.7045279
15.414742,6.787553659147637,2.2705517
16.431097,6.119725758945851,2.4637194
17.26609,5.521568256602517,3.07944
19.021313,8.67023179183757,0.57870483
14.843517,11.54201910732713,2.5739756
15.642782,9.124044302637278,2.8248863
9.948584,5.7285014062462265,0.6659317
17.926706,6.486242933764062,3.5000954
18.86588,7.258017757507757,3.5873508
15.0917015,5.868391610922304,2.111535
15.99441,6.469998182634992,2.6620903
10.922402,5.666245736154603,0.855999
12.134267,6.546217783326385,1.1857185
15.78742,10.735574200628147,3.0150604
14.910554,8.363465810006513,2.401431
15.90926,6.353283449867489,2.4123507
14.376138,15.96928918241789,2.662879
9.857987,16.36291492984021,1.1033382
